AREACD,AREANM,High Technology Manufacturing,High Technology Services,Knowledge Intensive Financial Services,Knowledge Intensive Market Services,Less Knowledge Intensive Market Services,Low Technology Manufacturing,Medium Technology Manufacturing,Non-manufacturing Production,Other,Other Knowledge Intensive Services
S22000068,Inverness TTWA,0.014263883,0.021617105,0.010175264,0.075841036,0.353017526,0.017520347,0.010543176,0.029916513,0.086141535,0.380963616
S22000069,Kilmarnock and Irvine TTWA,0.011916464,0.009875421,0.011186487,0.043174501,0.359183379,0.028575495,0.042536411,0.026520615,0.078148946,0.388882282
S22000070,Livingston TTWA,0.015740573,0.086076063,0.008079994,0.08856893,0.357174851,0.044279435,0.046974055,0.007643421,0.085581366,0.259881312
S22000071,Motherwell and Airdrie TTWA,0.002578523,0.023596156,0.020042441,0.072252134,0.350300253,0.0416503,0.033178745,0.030469771,0.107891193,0.318040483
S22000072,Newton Stewart TTWA,0,0.012635804,0.004327001,0.029680996,0.395583152,0.042929337,0.0167433,0.036848098,0.125676997,0.335575315
S22000073,Oban TTWA,,0.021767245,0.006099136,0.06876554,0.443204439,0.023492581,0.008089952,0.072893089,0.080716417,0.274723425
S22000074,Perth TTWA,,0.010999701,0.034369033,0.062312839,0.37741297,0.034945422,0.016989692,0.058374204,0.087706236,0.316829182
S22000075,Peterhead TTWA,,0.005786424,0.006748494,0.089332571,0.325119062,0.107472105,0.065427987,0.091705811,0.066789522,0.240915548
S22000076,Pitlochry and Aberfeldy TTWA,,0.009966806,0.000586164,0.030716686,0.5393898,0.027391188,0.005291578,0.049962938,0.097118754,0.239397359
S22000077,Portree TTWA,0,0.016635917,0.038936847,0.040944283,0.466400333,0.037789922,0.003897902,0.032158877,0.102951579,0.26028434
S22000078,St Andrews and Cupar TTWA,0.000300344,0.022625177,0.004928696,0.038912796,0.377276534,0.026979023,0.011919233,0.051144357,0.055819234,0.410094606
S22000079,Stranraer TTWA,,0.009787215,0.007751132,0.046133531,0.415957292,0.050749267,0.006391992,0.025649081,0.061663048,0.375740671
S22000080,Thurso TTWA,,0.03769165,0.012131337,0.111176092,0.297165667,0.011128571,0.02290165,0.217531945,0.046230057,0.24372921
S22000081,Turriff and Banff TTWA,0,0.005549897,0.004694884,0.065222016,0.324398726,0.101110844,0.045414744,0.040852546,0.076788939,0.335967404
S22000082,Ullapool TTWA,0,0.014221703,0.004488763,0.024631045,0.428598763,0.011964878,0.008696494,0.111714764,0.094801589,0.300882001
S22000083,Wick TTWA,0.011167752,0.005129484,0.007241506,0.04401729,0.351250153,0.020556625,0.022492054,0.027136995,0.093305929,0.417702213
S22000084,Fraserburgh TTWA,0,0.002105355,0.008543544,0.039021158,0.317170031,0.108374757,0.080262964,0.137233298,0.06063151,0.246657384
S22000085,Greenock TTWA,0.011795272,0.056135594,0.050184199,0.080035702,0.33469835,0.027789021,0.021981148,0.002748716,0.05103629,0.363595709
S22000086,Lochgilphead TTWA,,0.007533064,0.003710899,0.021135882,0.332875378,0.007914939,0.017315313,0.08167819,0.117134979,0.410479769
W22000003,Bridgend TTWA,0.017543677,0.035653078,0.009018802,0.06439908,0.323868545,0.038600908,0.091533334,0.014848937,0.077220081,0.327313559
W22000009,Haverfordwest and Milford Haven TTWA,0.002495263,0.012582406,0.008642455,0.042161855,0.427153744,0.016844303,0.018341314,0.028469833,0.071418934,0.371889895
W22000011,Llandrindod Wells and Builth Wells TTWA,0.008094321,0.012798075,0.009354478,0.035136273,0.335699084,0.044912844,0.036323742,0.045955034,0.056422129,0.415304019
W22000015,Newtown and Welshpool TTWA,0.001114632,0.016968612,0.009311484,0.07471512,0.376854554,0.062296456,0.126030548,0.021533391,0.071687218,0.239487986
W22000016,Pembroke and Tenby TTWA,,0.007308652,0.004701238,0.038625194,0.511604096,0.003869782,0.093420998,0.016811656,0.064721975,0.25870733
W22000021,Aberystwyth TTWA,0.002580101,0.009423162,0.007222837,0.040210332,0.399563293,0.019903701,0.005405786,0.028333534,0.07135828,0.415998975
W22000022,Bangor and Holyhead TTWA,0.011526088,0.023375163,0.013656545,0.03517047,0.336342702,0.028987487,0.031306249,0.027375591,0.070389805,0.421869901
W22000023,Brecon TTWA,,0.013338485,0.006524965,0.111228714,0.431187896,0.03332485,0.014949495,0.025880515,0.044355252,0.317578901
W22000024,Cardiff TTWA,0.008337561,0.029249502,0.043931598,0.103776366,0.303525498,0.024503998,0.048276739,0.024275755,0.063574705,0.350548277
W22000025,Cardigan TTWA,0.021366015,0.027401658,0.007067484,0.035521092,0.519966036,0.024890852,0.018720249,0.046051236,0.078744519,0.22027086
W22000026,Colwyn Bay TTWA,0.001655294,0.012536908,0.01644742,0.059853049,0.478639552,0.006395659,0.014862831,0.01349599,0.068658026,0.327455271
W22000028,Llanelli TTWA,0.002830711,0.014567016,0.010620053,0.050155876,0.345524666,0.026809754,0.084451253,0.016870176,0.070268019,0.377902477
W22000029,Merthyr Tydfil TTWA,0.008469018,0.027015895,0.010012543,0.043629532,0.314361919,0.052858568,0.087654365,0.01964766,0.071033164,0.365317334
W22000030,Pwllheli and Porthmadog TTWA,0,0.00658273,0.006395882,0.026083508,0.531849032,0.014549823,0.036457155,0.032416037,0.069211724,0.276454109
W22000031,Rhyl TTWA,0.015758685,0.013294752,0.009370002,0.050924588,0.369474903,0.026283346,0.061069502,0.019746999,0.083668024,0.350409198
W22000032,Swansea TTWA,0.003792065,0.023177065,0.034880509,0.047422938,0.343682578,0.012252285,0.075050356,0.016211497,0.059565156,0.383965552
W22000033,Tywyn and Dolgellau TTWA,,0.004883638,0.006053767,0.029633698,0.45359672,0.063412811,0.007370028,0.047265568,0.081853162,0.305798457
W22000034,Wrexham TTWA,0.020543363,0.017919938,0.007203243,0.068415902,0.300538132,0.076261543,0.093345403,0.025203118,0.046694815,0.343874542
