AREACD,AREANM,Abigail,Ada,Aisha,Alice,Amber,Amelia,Amelie,Anna,Annabelle,Arabella,Aria,Aurora,Ava,Ayla,Beatrice,Bella,Bonnie,Charlotte,Chloe,Clara,Daisy,Darcie,Delilah,Edith,Eleanor,Eliza,Elizabeth,Ella,Ellie,Elsie,Emilia,Emily,Emma,Erin,Esme,Eva,Evelyn,Evie,Felicity,Florence,Francesca,Freya,Georgia,Grace,Gracie,Hallie,Hannah,Harper,Harriet,Heidi,Holly,Imogen,Iris,Isabella,Isabelle,Isla,Ivy,Jasmine,Jessica,Layla,Lilly,Lily,Lola,Lottie,Lucy,Luna,Lyla,Maisie,Margot,Maria,Martha,Maryam,Matilda,Maya,Mia,Mila,Millie,Molly,Nancy,Olivia,Orla,Penelope,Phoebe,Poppy,Robyn,Rose,Rosie,Ruby,Sara,Scarlett,Sienna,Sofia,Sophia,Sophie,Summer,Thea,Violet,Willow,Zara,Zoe,Total,
E07000037,High Peak,,,,7,,4,,,,,,3,4,,,,,,,,3,,,,6,,3,3,3,,,7,,,,4,,7,,4,,7,,3,,,,3,4,,,,,6,,8,3,,4,3,5,,4,,,4,,4,,,,,5,,,,,,3,5,,,3,7,,,,3,,,,,,,,,3,3,,,409,
E07000038,North East Derbyshire,,,,,3,6,,,,,,,9,,,,,,,,4,,,,,,,4,3,,,4,,3,,,7,8,,,,,,5,,,,6,5,3,3,5,,4,3,7,4,,3,,6,5,4,,,,,,,,,,3,,7,,,,5,9,,,4,4,,,,,,,5,,,7,,,,5,,,404,
E07000039,South Derbyshire,,,,6,,9,,,,,,3,,,,,,6,3,,3,3,,,5,,,6,,9,,4,,4,,,,5,,,3,3,3,11,,3,,,5,,,3,,3,,8,10,,4,3,,,,,5,,,4,,,,,,,7,4,4,,4,13,,3,5,6,3,6,3,7,,3,3,3,7,3,,,,6,,,568,
E07000040,East Devon,,,,3,,7,,4,,,,,9,,3,4,,,3,,5,,,6,4,,,5,4,6,,7,,4,4,5,7,3,,7,3,9,,6,3,,,4,,,,6,,4,,9,7,,4,5,,4,4,4,3,,,,,,,,3,,7,,5,4,,20,3,,6,4,,4,5,5,,,4,,4,6,,3,3,,,,567,
E07000041,Exeter,,3,,,,4,,4,4,,,,5,,,3,,,,,5,,,3,,,,9,,7,3,5,5,,4,3,7,8,,6,,5,3,7,3,,,,,,,,,10,3,4,7,3,6,,,5,5,,3,,,,,3,,,6,,,4,,4,,12,,,4,,3,4,4,5,,5,,3,5,7,,,,3,,,565,
E07000042,Mid Devon,,,,,,3,,,,,,,6,,,3,,,,,,,,,,,,,3,3,,,,3,,,5,,,,,4,,5,,,,3,,,,3,,3,,8,,,,,,4,4,,,,,4,,,,,3,,,,,,,9,,,,8,,,,3,,,,,,,,,,6,,,340,
E07000043,North Devon,,,,,,11,,,,,,,,,,,,3,3,3,7,,,,,,,,,6,,3,,,,,5,5,,3,,,,6,,,,,3,,,,,3,5,4,5,,,,,,,,,,,,,,,,5,,6,,4,,,4,3,,4,7,,,,6,,,3,,5,5,,4,,,3,,422,
E07000044,South Hams,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,6,,,,3,,,3,,,,,6,,3,,4,,,,,,,,5,3,,3,3,,,3,,,,,,3,4,,3,,,,,4,,,,,,,,,,3,,,,6,4,,,,,,4,4,,,,,,308,
E07000045,Teignbridge,4,,,5,,8,,,,,3,3,9,,,,7,6,5,,6,,4,,3,5,5,,,6,4,5,,4,,,7,10,3,10,,4,,4,,,,5,4,,,3,,4,7,8,5,,6,,,5,,,,4,,,,,3,,,,4,,,4,,9,,,9,8,,,6,,,,,5,,8,,,,4,3,,584,
E07000046,Torridge,,,,,,3,,,,,,,4,,,,,,3,,5,3,,,,3,,,3,7,,3,,3,,,,,,3,,3,3,,,,,,,,3,3,,,,4,3,,,5,,3,,,,,,,,,,,,,,,,,,4,,,3,4,,,3,,,,5,,3,5,,,,4,,,277,
E07000047,West Devon,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,,,,,,,,,4,,,199,
E07000061,Eastbourne,4,,,3,,10,,,,,,,7,,,3,,3,,,4,,,,,4,4,3,,5,,3,,,,3,,4,,4,,3,,,,4,,5,,,,,,7,4,5,,,,3,,4,,,,,,3,,,,,4,,,,3,,,10,,,,5,,,3,4,,,,,7,5,,,,3,,,479,
E07000062,Hastings,,3,,5,,4,,,,,,,11,,,,,,4,,,,,,,,,4,,5,,,,,4,5,6,5,,,,4,,9,4,4,,4,,,,,,,4,8,8,,,,,,,,,4,,,,,,,,,4,,,,,7,,,,6,,,5,4,,,,,,9,5,,,4,,,522,
E07000063,Lewes,,,,,,3,,,,,,,5,,,6,,,,,,,3,,3,3,,,,,3,5,,,,3,4,3,,5,,3,,10,,,,5,5,,,4,,4,9,,4,,4,,,,,,3,3,,,,,,,4,,,,4,,,9,,,4,5,,5,,,,,3,3,5,,4,,,7,,,418,
E07000064,Rother,,,,,,6,,,,,,,3,,3,3,,4,3,,3,,,3,,3,3,,3,3,,5,,,,,,5,3,6,3,,,4,,,,3,,,,,3,,,3,,,,,,4,,,,,,,,,,,4,,,,3,,,,,,5,,,4,3,,,3,,,,4,,3,,6,,,335,
E07000065,Wealden,,,,,,11,,,,,,4,9,,,5,3,7,6,,3,,,3,4,4,3,6,,6,3,4,,3,,3,7,7,3,,,3,,9,,,,,6,,3,3,,5,8,10,13,,5,4,,7,3,,4,5,,8,,,3,,6,,5,,6,4,,10,,,4,6,,,3,8,,,3,,3,6,3,,,7,3,,606,
E07000066,Basildon,4,,,7,,20,5,,3,5,6,3,18,,,7,,8,3,3,8,8,,,4,4,4,14,5,10,3,13,6,5,3,,,15,3,10,3,12,,7,,9,4,7,6,,,3,,15,8,13,9,4,15,7,,10,3,3,3,4,3,4,,,,,,4,5,6,8,3,7,22,,6,5,11,,,13,8,,10,9,,11,7,4,,4,14,,5,1168,
E07000067,Braintree,,,,3,,9,,,,,,,5,,3,5,6,7,6,3,8,5,,3,,3,4,6,3,5,5,7,,3,5,,7,6,,8,3,6,,6,,3,,11,6,,3,3,,5,4,13,8,,13,,,8,,,,,,7,,,,,6,,18,,6,3,3,17,3,5,8,11,4,,5,6,,7,7,,7,5,,,3,8,,4,804,
E07000068,Brentwood,,,,,,3,3,,,3,,,7,,,,,4,,3,,,,,,,,,,5,,5,,,3,3,,,,6,,,,,,,,,,,,4,,4,,7,,,3,,,,,,,,,,,,,,3,,4,,3,,,12,,6,4,,,3,3,,,,4,3,5,3,,,3,7,,,391,
E07000069,Castle Point,,,,,3,6,,,,,,3,6,,,,,5,,,,,,,,,,,,10,,3,,4,,3,,3,,3,,,,4,,4,,,,,,,,,3,7,5,,,,,3,,,,,,4,,,,,3,,3,,6,3,3,10,,,,3,,3,5,4,,,6,3,4,4,,,,,,,402,
E07000070,Chelmsford,,3,,8,4,12,,,,3,,,9,,3,4,5,6,7,5,8,,6,,7,,,5,,3,6,8,3,3,3,6,7,3,9,8,,10,5,9,3,4,4,,3,,,4,,14,5,11,9,4,13,5,5,8,3,,,5,,,,,,,5,3,9,4,6,3,3,22,,4,9,10,,3,6,5,,,12,12,10,8,3,6,3,7,8,,938,
E07000071,Colchester,,,,5,4,14,,,4,5,,,8,,,3,4,9,3,,3,,,,5,6,4,7,4,10,3,13,,3,4,,9,13,,15,,5,,10,,,,8,4,,,5,,10,9,11,9,4,6,3,5,8,4,4,,3,,3,4,,,,7,5,9,4,8,7,,8,4,6,8,9,4,11,14,4,,8,6,5,10,7,,5,3,6,,,1015,
E07000072,Epping Forest,,,,,,3,,,,,4,3,10,4,,,,3,4,3,3,,4,,3,3,,5,4,9,5,7,3,,,,3,3,3,6,,6,4,5,,,,5,3,,,3,,8,5,9,5,,4,3,,7,3,,,4,,,,,,,,4,11,4,4,,,10,,,4,4,,,6,4,,6,7,,6,9,4,,4,,3,3,757,
E07000073,Harlow,,,,5,,13,,,,3,,,7,,,,,,4,,,,,,,3,5,8,4,,,4,,,,,,,,,,,,4,3,,,3,,,,,,3,5,3,7,,4,,,,,3,,3,,5,,,,,,,9,,4,,4,7,,,,7,,,4,,,,10,7,5,5,,4,3,4,,,585,
E07000074,Maldon,,,,6,,7,,,,,,,,,,,,,,,,,,,,,,,3,,3,3,,,,,,3,,3,,6,,,,,,,,,,,,3,,,4,,3,,,,,,,,,,,,,,5,,,,,,,5,,,5,3,,4,6,,,,,,,4,,4,4,,,,279,
E07000075,Rochford,,,,3,3,4,,,,,,,5,3,,,,,4,,,,,,,,,3,4,3,4,5,,,,3,6,5,,4,,,,,,,,,4,,,3,,3,3,6,7,,5,,,7,,,,,,4,,,,,,,3,,,3,,3,,4,,8,,,4,,,,3,,,5,,3,,3,,,379,
E07000076,Tendring,,,,5,,14,,,,,,4,10,3,,5,3,,,,4,4,,,,,,4,3,9,,6,,,,,,13,,5,,6,,6,3,,,7,3,,,,,4,4,14,7,,6,,3,3,3,3,,5,,6,,,,,,,7,5,,3,,8,,,6,7,,,4,4,,4,3,,6,4,,5,5,9,,,668,
E07000077,Uttlesford,,,,3,,9,,,,,,,5,,,,,,,,,,,,,,,6,,9,,,,4,4,,3,,,12,,,,6,,,,,,,,4,,3,,6,6,,5,,,4,,3,,,,4,,,,,3,,8,3,3,,,8,,7,8,4,,,6,4,,3,,,3,,3,,,5,,,462,
E07000078,Cheltenham,3,,,4,,3,4,,3,,,,5,,4,,,4,6,,,3,,5,4,,3,,,3,4,6,,,,,4,5,,3,,3,,7,,,,3,,,,,,5,,3,,,3,,,9,3,,5,5,,3,,3,,,7,,5,,,3,,3,,3,3,,,3,3,3,,3,3,,4,3,,,4,,,,558,
E07000079,Cotswold,,,,,,11,,,,,,3,4,,,,4,,3,,3,,,,,3,5,,,4,,6,,,,6,3,5,,5,,3,3,4,,,,3,4,,,3,,3,,6,4,,3,,,4,,,,3,,,,,,,,,,,,4,,11,,,3,4,,,7,,,,,,3,,,,,4,,,373,
E07000080,Forest of Dean,,,,,,,,,,,,,5,,,,,4,,,3,,,,,3,,9,,5,,3,,,,,,3,,,,,,4,,,,,,,,,,,4,5,,,3,,,3,,,,,,,,,,,,,,,,3,,9,,,7,4,3,,4,6,,3,,,,5,,,,5,,,369,
E07000081,Gloucester,,,3,5,,6,,,3,,4,,8,,,5,,3,3,,7,3,,,5,3,,9,,5,7,9,,,3,4,7,4,3,3,3,6,,3,,,5,6,,,5,4,,6,6,8,5,,,4,,,3,,,,,,,,,,4,,6,4,4,,,6,,3,3,4,3,,4,12,,,5,6,3,4,5,,,,,,808,
E07000082,Stroud,,3,,,,3,,,,,,,3,,3,,,6,4,,4,3,,,,,,3,,,4,4,3,,3,3,,8,,5,,6,,3,,,,3,,,3,3,5,4,,6,5,4,7,3,5,7,,,3,,,,,,4,,4,,8,5,,4,,10,4,3,,9,,4,3,6,,,4,,,4,,3,,,,,508,
E07000083,Tewkesbury,,,,3,,8,,,5,,,,4,,,3,,5,,,,3,,4,,,,8,3,5,3,7,,3,,,5,4,3,11,,,,5,3,,,3,4,,,3,,11,3,3,3,,,,,7,3,,,,,,3,,,,3,,5,,3,,,11,,,3,7,,,5,,,3,,4,4,5,,,,3,,,499,
E07000084,Basingstoke and Deane,5,3,,10,3,10,5,,,4,6,,11,,,6,,6,9,,5,5,,,3,,3,9,5,5,,4,5,3,9,4,7,8,,13,,9,,10,,,6,6,3,,5,6,4,3,6,9,8,,7,3,,7,4,3,4,4,,4,,,,,4,5,9,5,10,,,14,4,5,3,13,4,3,5,8,,5,8,4,5,10,5,5,3,9,5,3,946,
E07000085,East Hampshire,,,,3,,5,9,,4,3,,3,3,,,,,6,4,,4,,,,3,,,7,3,5,,6,,,3,4,5,6,,,,8,,5,,,3,3,3,4,3,8,,3,3,6,7,,5,,,5,,,,,,5,,,,,7,,5,,,,3,11,,,4,8,,3,3,3,,,4,3,5,8,,,,,,,520,
E07000086,Eastleigh,,,,7,4,8,4,3,,,4,3,13,,4,3,,9,3,,7,,,,4,,5,3,5,8,4,4,,5,6,,6,6,,8,,4,3,8,,,,5,,4,7,4,,8,8,9,3,,10,4,3,8,,,3,3,,3,,,6,,6,4,4,6,3,,,9,3,4,14,7,,,11,,,4,4,6,7,9,3,6,3,9,,,724,
E07000087,Fareham,,4,,,,,,,5,,,3,,,,,,,4,3,,,,,,,3,6,,3,,4,4,,,3,3,3,,6,,5,,4,,,,,3,,,8,3,6,5,9,3,,7,,,7,6,,3,,,,,,,,4,,4,,,5,,11,,,5,9,4,,3,,,,4,,7,,3,5,,3,,,467,
E07000088,Gosport,,,,4,,8,,,,,,,4,,,4,,,,,5,,3,,3,3,,,,5,,3,,,,,3,6,,9,,,,,,,,4,,,3,,,,3,5,6,4,,,,4,5,,,6,,,,,,,,,,,,,,5,,,3,6,,,,3,,4,4,,5,4,,4,,,,,416,
E07000089,Hart,,3,,5,,8,,3,,,,,7,,,,,8,4,,6,,,,3,,3,4,,3,,7,,,,,8,9,,,,4,,,,,,4,5,,,5,,4,3,4,6,,6,,,3,,,3,3,,4,,,,,6,,5,,,5,,13,,3,6,,4,,,4,,,3,,8,8,,,,4,,,456,
E07000090,Havant,,,,,,12,,,,,3,,6,,,,,3,,,5,,,3,,3,,4,,9,,3,,,,,7,7,,7,,5,,,,3,,5,,,,5,,3,4,9,4,,5,,3,8,,,,5,,3,,,,,,,4,4,3,3,3,7,,5,4,6,3,,6,4,,,5,4,4,5,,,,4,,,571,
E07000091,New Forest,,,,6,3,11,,4,,3,,,10,,,,4,4,4,3,5,3,6,3,3,,,5,,6,5,10,,,5,7,6,4,,11,,8,,9,,,,5,4,4,5,5,,12,5,9,5,,7,4,,7,3,,5,4,,8,3,,4,,3,3,8,4,3,,,14,3,,10,7,,5,4,,,,,,6,10,4,,,5,,,716,
E07000092,Rushmoor,,,,7,,5,,,,,4,,8,,,3,,6,3,,6,3,3,3,,5,3,7,,7,6,5,,,3,3,11,6,,,,5,,,,,3,3,3,,,,,5,8,6,,,6,3,,11,4,,5,3,,,,,,,,3,4,,,,3,10,,,3,5,,,4,,,,,3,4,4,3,,3,5,,,650,
E07000093,Test Valley,,,,,,5,,,4,,4,,5,3,,,,6,4,,5,,,,3,4,,4,,5,6,7,,3,4,,7,5,,11,,,8,4,,,,5,6,,4,,3,3,,4,5,,5,,,5,,3,3,,,,,,9,,6,3,4,,3,4,,10,,3,5,7,,,6,5,,3,8,3,8,5,,,,5,,,586,
E07000094,Winchester,,,,5,3,7,,,,,,,4,3,,3,,5,3,,3,,3,,6,,5,7,,6,4,5,,,,,3,3,,9,3,5,,6,,4,,,3,,4,3,,,3,6,6,,6,,,6,,,3,,,,3,,4,,6,,4,3,,4,,8,,4,8,5,,5,,5,,,3,4,9,8,,,3,4,,,554,
E07000095,Broxbourne,,,,,,8,,,,,6,,9,5,,3,,4,3,,5,,3,3,,,,4,3,6,4,,3,,,5,3,3,,6,,,,,,,,,,,,,,9,3,6,6,,3,,,7,,,,,,,,3,,,,4,5,,,,,9,,,3,3,,,4,4,,3,4,,5,3,3,,3,,,,612,
E07000096,Dacorum,,3,,5,,10,5,,3,4,4,,13,,4,,4,11,8,3,3,,,3,,4,,7,3,8,4,7,5,4,6,4,6,10,,6,,,,6,3,,5,3,4,,3,,,9,,9,5,4,6,4,,7,,3,,4,,,,6,,,7,4,8,3,9,,,17,,3,6,8,,4,7,4,,4,7,3,7,,3,4,,8,,,894,
E07000098,Hertsmere,,,,4,,10,3,,5,,3,,7,,,,,5,3,,5,3,,,,3,,8,3,,3,5,,,,5,4,,,3,,,,6,,,,3,,,,,,9,5,6,3,,4,,,5,,3,,3,,,,,,,,8,5,,,,,7,,,6,,,,,5,,6,7,8,9,4,,,,3,,,590,
E07000099,North Hertfordshire,4,,,9,,11,3,,,,,,12,,,4,3,11,4,,10,,3,3,,4,4,8,,5,4,8,,,5,5,4,7,4,5,,3,,6,,,,5,,,,,5,10,4,9,4,,5,,,9,4,,3,,,,3,,3,,,,4,5,3,,,12,,5,9,4,,,5,,3,,3,3,5,3,,,3,3,3,6,719,
E07000102,Three Rivers,,,,,4,4,,,,4,4,,4,3,,,,7,3,4,5,,,,,,3,4,,5,4,4,,,,,,3,,,,,,4,,,,,4,,,3,,5,3,4,,3,6,,,5,,,4,,,,,,,,,4,4,4,,3,,11,,,3,3,,,3,6,,3,7,5,5,7,,,,4,,,500,
E07000103,Watford,,,,,,15,,,,,,,6,,,3,,3,,,,,,,,,3,3,,3,4,3,6,,,4,3,,,5,,3,,5,,,,,,,3,,,3,3,8,,3,4,,,,,,,,4,,,5,,,,,6,,,,,6,,3,,3,,,4,4,,,4,6,7,5,,,,,,,654,
E07000105,Ashford,3,,,4,,7,5,,,,,4,8,,4,,4,5,3,,4,3,,,3,,3,5,,5,3,7,,,,,7,7,,7,,4,,9,3,,,4,,,4,4,,7,8,7,10,,,3,3,6,5,4,,3,,6,,,,,11,3,7,,5,4,3,10,,,,5,,,7,3,3,4,5,5,5,4,,4,4,5,4,,727,
E07000106,Canterbury,,,,,,5,,,,,,,9,,,,3,5,,,7,,5,,4,,,5,,9,4,7,3,4,,7,4,,,5,,4,3,12,,,,4,3,,,,,6,4,11,9,,4,4,,5,3,,,4,,,4,,,,6,,7,3,4,3,,17,5,,3,4,,3,4,3,,4,,3,4,3,,,5,7,,,653,
E07000107,Dartford,4,,,5,,11,,,7,,,,10,,,4,,3,6,,5,,,,,4,3,7,4,6,,6,,,,3,3,5,,5,,4,,3,,,3,8,,,,,,9,3,7,8,,4,3,,7,,,,,,,,,,,,4,7,5,4,,5,13,,5,6,6,3,4,6,,,4,10,4,8,9,3,,4,,,,784,
E07000108,Dover,,,,3,3,7,,,,,,3,3,,,,3,9,3,,5,4,,,,,5,4,4,3,4,,,,3,,3,3,,5,,3,,5,,,,,,,,3,,6,4,9,8,,,3,,6,,3,,,,7,,,,,,,7,,,,3,5,,,6,5,,,7,,,,3,,3,6,,3,,5,,,505,
E07000109,Gravesham,3,,3,,,7,,,,,,,,,,3,,,,,3,,,,,3,,,,7,4,,,,,,5,4,,6,,,,6,,,,3,,3,3,3,,4,,6,4,,4,,,,,,,3,,,,,,,,4,9,3,4,3,,8,,,5,4,,,,,,,,3,3,4,,,,,,,642,
E07000110,Maidstone,4,4,,8,4,19,,,7,,,,14,,,7,3,8,4,,8,,,,4,5,,9,,6,4,10,4,3,4,4,6,8,4,12,,4,3,8,3,4,3,12,5,,,6,3,9,5,7,7,4,7,3,,7,,,5,6,,5,,,,,4,5,10,4,5,4,6,18,,5,8,9,,6,9,4,,3,8,8,14,4,,5,4,9,3,,1037,
E07000111,Sevenoaks,,,,,5,4,5,,,3,3,,3,,,,,9,5,,8,,,,,,3,5,,8,,4,5,,4,3,,8,,8,,4,,6,,,4,,5,,,8,3,4,4,13,4,5,4,,3,4,5,,,4,3,,,,,,4,,,3,,,3,9,,4,6,7,5,3,3,3,,,3,,10,5,,,3,5,,,596,
E07000112,Folkestone and Hythe,,,,4,,7,,,3,,4,,5,,,3,,,6,3,,,,,,3,3,,3,,,6,,,,,,3,3,4,,3,,4,,3,,,,,,3,,5,,6,3,,3,,,3,,3,,,,4,,,,,3,,8,,,,,7,,,4,9,,5,4,,,,,,4,3,,3,,3,,,473,
E07000113,Swale,,,,,,17,,,3,,3,,6,,,3,,6,4,,7,,6,3,,,4,4,3,8,4,5,,3,4,,7,3,4,7,,4,,10,,,,8,,,,3,,5,5,13,9,,7,,,11,3,,,4,3,4,,,,,5,,8,,4,,3,17,4,,7,16,3,4,9,4,,6,5,3,6,7,6,6,3,7,,,803,
E07000114,Thanet,,,,8,,11,,,,,3,,9,,,3,6,5,3,,7,4,4,3,3,,,5,3,6,3,7,,,3,4,5,,,9,,,,,,,,3,3,,,4,,7,,,6,,,,3,4,3,5,6,3,,,,,,,,,9,4,3,,3,13,,3,4,4,,,3,6,,6,5,5,5,,,,,4,,,721,
E07000115,Tonbridge and Malling,,,,3,,4,,,,5,3,5,4,,3,,,5,4,,5,4,,,,3,3,10,7,9,3,14,3,,,4,5,10,3,9,,6,,7,,,,6,,,3,5,,7,5,10,10,,7,,,6,,6,,6,,4,3,3,,,3,,5,,3,4,,14,3,,5,9,,,4,4,,3,9,,10,,,,,6,,,683,
E07000116,Tunbridge Wells,,,,4,,6,,,4,,,,5,,4,3,3,7,,4,3,,,4,,,,3,,4,5,8,,,3,,4,6,,7,3,4,,,,,,,,,,3,,,6,5,,,4,,,4,6,,,,,,4,4,,,3,3,5,,,,3,11,,4,,3,3,,,3,,5,,5,,8,,,,,,,563,
E07000117,Burnley,,,,3,,6,,,,,,,9,,,,,4,,,3,,,,,7,,,,4,3,,,,,4,,5,,4,3,3,,,,3,3,3,,,,,,3,,7,,,3,,,,,7,,,,,,,,,3,,,,,,,10,,,3,4,,,5,3,,3,,,6,,,,5,3,,,539,
E07000118,Chorley,,4,,9,,13,,,,,4,,6,,,5,,8,,,3,3,,,4,3,4,7,,,4,7,,3,3,,3,8,,11,,6,5,7,,,,8,4,6,,,,4,,10,4,,3,6,4,3,3,,4,,,,,,,,4,,7,4,3,,,10,,3,4,5,3,,6,4,,,5,3,8,3,,,6,5,5,,548,
E07000119,Fylde,,,,,,,,,,,,,5,,,,,4,3,,3,,,,,,,3,,4,3,4,,,7,,,3,,3,,,,,,,,,3,,,,,,,3,3,,,,,8,,,4,,,,,,,,4,,3,,,3,,7,,5,3,5,,,3,4,,4,,,4,5,,,,,,,295,
E07000120,Hyndburn,,,3,4,,9,,,,,,,9,,,,,3,,,6,,,,,6,,3,,4,,6,,,4,,,5,,,,6,,,,,,3,,,,,,,,6,3,,,,,,8,,,,,,,,,,3,,,,4,,4,3,,4,3,,,,,,,4,,,3,,,,,,,,465,
E07000121,Lancaster,,7,,,3,8,3,,,,3,4,6,,,,,4,,,,,,,,5,,7,3,4,,11,4,,,3,,10,4,8,,6,,4,3,4,,7,,4,4,,,10,,6,3,,4,,3,10,6,3,,3,,3,,4,,,,,11,4,3,3,6,9,,3,4,6,,3,4,6,,3,,,12,3,,,,7,3,,690,
E07000122,Pendle,,,,3,,6,,,,,,,,,,,,,3,,,,,,,5,,4,,4,,7,,5,,,,,,3,,,,,,,4,,3,,,,,3,,5,,,3,,,4,,,,,,,,,4,,4,,,,4,,,5,,,7,,,3,,5,,,,,4,4,,,3,3,,,572,
E07000123,Preston,,,5,,,18,,,,,,3,13,,3,3,,4,6,,,,3,,,7,4,4,5,,3,8,,,3,3,,,3,4,,5,3,7,3,3,,9,4,5,3,,,7,,5,4,3,4,5,,,3,,,,,3,,,,9,4,,4,,3,,5,5,,,5,9,,,4,3,,7,3,5,3,6,,5,,3,3,,842,
E07000124,Ribble Valley,,,,,,3,,,,,,,6,,,,,5,,,,,,,,,,,,6,3,,,,,,4,,,,,,3,3,,,,,3,,,,,6,4,3,,,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,3,,,,,,,3,3,,,,,,,229,
E07000125,Rossendale,,,,,,4,,,,,,,,,,,,3,,,4,,,,,3,,,,,3,5,,,,,5,6,,,,3,,4,,3,,,,,3,,3,3,,,5,,4,,,3,,4,,,,,,,4,,,4,3,,,,,7,,,,,,,3,,,,3,,4,,,,3,3,,,354,
E07000126,South Ribble,,,,4,,5,,,5,,,3,8,,,,,8,,,,,,,,3,5,3,3,4,4,9,5,,,,4,6,,5,3,5,5,6,,4,,7,6,3,,4,,,4,9,4,,8,,3,3,,3,,,,3,,,,,7,,3,,,4,,11,,,9,4,,3,,,,,7,3,6,5,,4,,4,,,521,
E07000127,West Lancashire,,,,,3,3,,,,,,,3,,6,,,5,,,4,,3,,,,,4,4,,4,5,,4,6,3,,4,,5,,,,8,,,,6,,,4,,,4,3,5,4,,3,,,6,3,,5,,,,,,,,,3,4,,,,4,9,,4,4,,,,6,,,4,3,,4,5,,,,,,,489,
E07000128,Wyre,,,,3,,4,,,,,,,4,,,,5,3,,,5,,,,,,,,,7,4,4,,,3,,4,,,4,,4,,3,3,,,,,,,,,4,4,10,,,3,,,9,6,,,,,,,,,,4,,6,,4,,,7,,4,,5,,,4,,,3,,,,6,,,,3,,,434,
E07000129,Blaby,,,,,,4,,,,,8,,5,,,,,7,3,,,4,,4,,3,,3,3,6,4,4,,,4,4,8,5,,6,,4,,3,,,,4,,,,,,3,,5,3,,4,,,5,,,3,,,,,,,,,3,6,4,,,3,6,3,,6,7,,,6,,,,5,4,,,,,3,6,,,530,
E07000130,Charnwood,,,,5,,6,,,,4,9,5,11,,,,,6,5,6,6,,,3,3,4,,10,3,10,,13,,,3,6,10,8,,7,,6,,6,,,4,5,3,,4,3,,5,6,12,6,3,3,3,,10,5,,4,,,,,3,4,,5,3,6,,5,,4,11,,3,,6,,,9,5,,6,5,4,6,3,,5,7,8,3,,893,
E07000131,Harborough,,,,,4,5,,,,,3,4,,,,,,6,,,,,,,,,,,,3,,,,,,3,3,6,,5,,,,,3,,,3,3,,3,4,,3,3,5,3,,4,,,,5,3,,,,,,,,,8,,3,,,5,,6,,,,3,,3,4,3,,,6,,5,4,,,,3,,,414,
E07000132,Hinckley and Bosworth,,,,3,,13,4,,,,3,,7,,,,,3,3,,,,,,3,,3,5,,5,,3,,3,6,,4,5,,5,,4,,,,,,3,4,,,3,,5,5,4,,,8,,,5,,,,,,,,,,,,,3,,,,3,7,,4,7,7,,4,,5,,,6,4,8,3,,3,,4,,,494,
E07000133,Melton,,,,,,7,,,,,,,,,,,,,,,3,,,,,,,3,,4,,3,,,,,,,,3,,3,,5,,,,,,,,4,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,5,3,3,4,4,,,,,,,3,,4,3,,,,,,,224,
E07000134,North West Leicestershire,,3,,3,,6,,,,,,,6,,,,,,3,,,,,3,3,3,4,3,,,,5,,4,,4,7,3,,4,,4,,7,,,,7,4,,6,,,3,3,7,5,,,,,3,3,,,3,,5,,,3,,4,,3,,,,3,16,,6,,4,,,,3,,4,4,,3,3,,,3,7,,,484,
E07000135,Oadby and Wigston,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,4,,,,,,,4,3,,,,,,,,,250,
E07000136,Boston,,,,3,,13,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,3,,,,,4,,3,,,9,,,,,,,,5,,,,,,3,,,,,,,358,
E07000137,East Lindsey,,,,4,4,3,,,,,,,6,,,3,,,3,,4,3,,4,,,5,6,4,,3,6,,4,5,6,5,8,,3,,,3,,3,,,5,5,,,,,6,5,5,5,,,,,6,,,,,,,,,,,3,,8,,3,3,4,7,,,4,6,,3,,,,,4,,5,6,3,,,3,,,549,
E07000138,Lincoln,,,,3,,4,,,,,,,4,,,3,,5,,,7,,,,4,,,5,,6,4,,3,,,6,3,6,,,,,,6,,5,,5,,,,,,4,4,,3,,3,,4,6,,4,,4,,,3,,,,,,3,3,,,3,,3,,3,9,,,6,,,,6,3,3,,,,4,3,,,515,
E07000139,North Kesteven,,3,,3,,11,,,,3,,,9,,,,,6,3,,8,,,3,4,4,4,9,3,5,8,10,,4,,,3,5,,8,,3,3,5,4,,,4,3,3,5,,,8,3,12,7,,5,,4,9,,,3,,,,3,,3,,,,5,,,3,4,11,,3,5,,,,3,,,,3,,3,,,,,4,3,,521,
E07000140,South Holland,,,,3,,7,,,,,,,,,,,,,,,8,,,,,,,,3,,4,6,,,,,,3,,4,3,,,3,,,,3,3,,,3,,,3,3,4,,5,,,,,,,,,,,,,,,,3,,3,3,,9,,,5,,,,,,,3,3,,,3,,,,,,,429,
