AREACD,AREANM,Method,% workforce taking bus and rail,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L),"Agriculture, electricity, water, mining (A,B,D,E)"
E07000135,Oadby and Wigston,Bus,6.706485444,1.551991723,0.959413065,0.112872125,0.526736585,0.112872125,0.427973475,0.348022386,0.126981141,0.070545078,0.094060104,0.818322908,0.244556271,0.141090157,0.183417204,0.31510135,0.037624042,0.061139068,0.042327047
E07000176,Rushcliffe,Bus,8.301421432,1.222388092,1.317582917,0.322364293,0.616602843,0.339672443,0.616602843,0.426213193,0.644728587,0.25962225,0.15577335,0.261785768,0.110339456,0.292075031,0.179572056,0.231496506,0.058415006,0.047597412,0.155773349
E07000039,South Derbyshire,Bus,2.462232111,0.345473709,0.360112425,0.114181989,0.169809111,0.01756646,0.254713667,0.108326502,0.038060663,0.014638716,0.043916149,0.155170395,0.096615529,0.076121326,0.073193583,0.143459421,0.046843893,0.011710973,0.023421947
E07000140,South Holland,Bus,1.827929538,0.367628287,0.142966556,0.028082716,0.058718407,0.022976768,0.112330865,0.191473066,0.033188665,0.007658923,0.051059484,0.255297421,0.04850651,0.033188665,0.045953536,0.107224917,0.015317845,0.007658923,0.058718407
E07000141,South Kesteven,Bus,2.680523266,0.506610222,0.241160346,0.036434297,0.105832957,0.038169263,0.164821819,0.166556785,0.03469933,0.024289531,0.03990423,0.291474375,0.07460356,0.053783962,0.058988862,0.067663694,0.053783962,0.019084632,0.029494432
E07000155,South Northamptonshire,Bus,2.762590761,0.188029738,0.21695739,0.07231913,0.130174434,0.014463826,0.188029738,0.095461251,0.052069773,0.028927652,0.052069773,0.488877318,0.164887616,0.031820417,0.075211895,0.118603373,0.115710608,0.008678296,0.080997426
E07000156,Wellingborough,Bus,3.374304267,0.634856215,0.252203154,0.095663265,0.124652134,0.066674397,0.115955473,0.342068646,0.11885436,0.037685529,0.049281076,0.202922078,0.092764378,0.06377551,0.072472171,0.113056586,0.026089981,0.014494434,0.023191094
E07000142,West Lindsey,Bus,2.414858708,0.379113702,0.216636401,0.041415783,0.130619007,0,0.108318201,0.063716589,0.302653796,0.003185829,0.038229953,0.331326261,0.041415783,0.038229953,0.041415782,0.041415783,0.009557488,0.019114977,0.172034789
E06000019,"Herefordshire, County of UA",Bus,2.231170599,0.465063521,0.305127042,0.04423775,0.119101633,0.022686025,0.156533575,0.085072595,0.06238657,0.01814882,0.046506352,0.098684211,0.054446461,0.040834846,0.04537205,0.038566243,0.034029038,0.020417423,0.037431942
E06000051,Shropshire UA,Bus,2.935534301,0.61851025,0.387763601,0.068950922,0.119469419,0.049835815,0.238938838,0.098306265,0.103767724,0.029355343,0.043008991,0.107863819,0.068950922,0.063489463,0.079191158,0.05120118,0.03413412,0.029355343,0.030720708
E06000021,Stoke-on-Trent UA,Bus,7.69036153,1.750942211,1.126291178,0.150055835,0.394332775,0.172738693,0.513853992,0.424867393,0.262597711,0.133479899,0.189314629,0.685720268,0.373394752,0.326284199,0.148311,0.231190676,0.050600223,0.061941653,0.09247627
E06000020,Telford and Wrekin UA,Bus,5.407121633,1.048356178,0.469663568,0.076679766,0.177321959,0.149765168,0.298332215,0.257596089,0.226444934,0.140180197,0.070689159,0.789561967,0.08866098,0.077877887,0.09824595,0.118614013,0.077877887,0.038339883,0.061104189
E08000025,Birmingham,Bus,23.9094745,2.279860586,2.684480266,0.878987309,1.392511681,0.998904835,1.091698159,1.03092363,0.975655519,0.310806649,0.37484424,0.981569818,0.614475351,0.423382286,0.350167334,0.454585316,0.232901046,0.235348342,0.082392313
E07000234,Bromsgrove,Bus,4.508967129,0.612203424,0.650307372,0.086368948,0.177818422,0.221002896,0.271808159,0.26418737,0.058426053,0.025402632,0.073667632,0.322613423,0.10415079,0.139714474,0.137174211,0.10415079,0.096530001,0.027942895,0.025402631
E07000192,Cannock Chase,Bus,4.030414344,0.958154589,0.539443602,0.048806802,0.238896453,0.048806802,0.321097382,0.179814534,0.118163837,0.02825657,0.128438953,0.310822266,0.079632151,0.089907267,0.13614529,0.141282848,0.025687791,0.010275116,0.030825348
E08000026,Coventry,Bus,12.00056426,1.747185426,1.763978827,0.309670312,1.260176801,0.473573904,0.689872908,0.698605476,0.621355832,0.169277481,0.163231856,0.465513072,0.345272322,0.263992262,0.270037886,0.316387672,0.156514496,0.147110192,0.17263616
E08000027,Dudley,Bus,8.775258131,1.986744274,1.307004868,0.160651,0.462578005,0.157421834,0.623229004,0.583671723,0.41010406,0.142083296,0.244609311,0.743515431,0.234114522,0.217968693,0.161458291,0.307578045,0.083958311,0.048437487,0.071041648
E07000193,East Staffordshire,Bus,3.776661008,1.025261778,0.460527422,0.070591795,0.176479486,0.053784224,0.300855505,0.171437215,0.077314823,0.05042271,0.065549524,0.305897776,0.085718608,0.084037851,0.060507252,0.090760879,0.040338168,0.031934383,0.040338168
E07000194,Lichfield,Bus,3.827453766,0.579446307,0.41959905,0.053282419,0.126545745,0.039961814,0.297493506,0.235330684,0.104344737,0.033301512,0.095464334,0.36409653,0.11322514,0.115445241,0.077703528,0.075483427,0.039961814,0.015540706,0.079923629
E07000235,Malvern Hills,Bus,2.628825115,0.345647693,0.345647693,0.057079436,0.107816712,0.041224037,0.225146662,0.053908356,0.022197558,0.047566196,0.050737276,0.161725067,0.034881877,0.025368638,0.066592675,0.044395117,0.025368638,0.022197558,0.019026479
E07000195,Newcastle-under-Lyme,Bus,5.867753587,1.297443451,0.780887427,0.147299179,0.484271273,0.090800864,0.502431445,0.320829718,0.098872051,0.1331746,0.117032224,0.322847515,0.250206824,0.147299179,0.145281382,0.288544967,0.04640933,0.068605097,0.024213564
E07000218,North Warwickshire,Bus,3.736225029,0.485583455,0.344688774,0.062899411,0.145926634,0.045287576,0.241533739,0.176118352,0.03522367,0.080511246,0.125798823,0.46797162,0.374880491,0.055351482,0.080511246,0.19121421,0.163538469,0.015095859,0.03522367
E07000219,Nuneaton and Bedworth,Bus,5.444195349,1.268187613,0.797837268,0.09231175,0.252758363,0.085718054,0.353861708,0.391225988,0.145061321,0.057145369,0.114290738,0.487933536,0.213196184,0.120884434,0.136269726,0.215394083,0.032968482,0.026374786,0.030770584
E07000236,Redditch,Bus,8.180960396,1.535205162,1.050671971,0.181062403,0.306020962,0.11985821,0.367225155,0.387626552,0.142809782,0.058654018,0.183612577,1.882028919,0.214214674,0.086705939,0.096906638,0.385076378,0.033152271,0.028051922,0.03825262
E07000220,Rugby,Bus,3.591206578,0.566370196,0.314650109,0.062930022,0.182497063,0.050344017,0.234938748,0.165715724,0.069223024,0.065027689,0.079711361,0.199278402,0.115371707,0.077613694,0.092297365,0.077613694,0.077613694,0.016781339,0.027269676
E08000028,Sandwell,Bus,12.04759977,1.59248057,1.687743615,0.223074297,0.609683489,0.197670819,0.587455445,0.754165774,0.296903157,0.083355164,0.46758278,1.411480785,0.572372129,0.238157613,0.298490874,0.59618789,0.084149023,0.149245437,0.263561092
E08000029,Solihull,Bus,11.72660152,2.449799996,1.109474815,0.256721527,0.415928675,0.321399431,0.971163605,0.721407391,0.301498537,0.212939561,0.206969293,0.554239885,0.32537961,0.16816255,0.212939561,0.217914784,0.411948496,0.087563932,0.15323688
E07000196,South Staffordshire,Bus,3.557914795,0.560773105,0.628828093,0.046277392,0.149720975,0.048999592,0.274942153,0.244997958,0.081665986,0.019055397,0.070777188,0.29127535,0.17694297,0.048999592,0.081665987,0.114332381,0.035388594,0.021777596,0.057166191
E07000197,Stafford,Bus,4.317334438,0.798958395,0.615493875,0.084334497,0.238207966,0.059182103,0.334378884,0.211576019,0.208616914,0.041427472,0.102089128,0.156832574,0.087293602,0.075457182,0.103568681,0.094691365,0.054743446,0.010356868,0.028111498
E07000198,Staffordshire Moorlands,Bus,3.408347321,0.477965234,0.32148852,0.056900623,0.142251558,0.042675467,0.34424877,0.128026402,0.036985405,0.019915218,0.091040997,0.184927025,0.076815841,0.867734502,0.065435716,0.059745654,0.159321745,0.008535093,0.014225155
E07000221,Stratford-on-Avon,Bus,3.177257525,0.50948645,0.212546495,0.079704935,0.071890726,0.176601131,0.215672178,0.131278717,0.039071047,0.171912606,0.062513675,0.179726815,0.060950833,0.053136624,0.060950833,0.059387991,0.064076517,0.020316944,0.018754102
E07000199,Tamworth,Bus,5.411354974,1.347088974,0.453410435,0.108424234,0.2299908,0.131423314,0.450124852,0.430411355,0.170850309,0.072282823,0.111709817,0.344986201,0.203706137,0.187278223,0.154422395,0.213562886,0.075568406,0.016427914,0.016427914
E08000030,Walsall,Bus,10.50880552,2.1212868,1.524141722,0.195256962,0.672973024,0.303311786,0.579135941,0.570605297,0.510890789,0.075827946,0.286250498,1.146897689,0.414210157,0.19810051,0.206631154,0.441697788,0.069193001,0.135542454,0.115637618
E07000222,Warwick,Bus,5.029283139,0.696913122,0.577990333,0.140661364,0.205877088,0.07800312,0.295388865,0.239124319,0.124037748,0.11636531,0.037083451,0.180302294,0.113807831,0.056264546,0.093347996,0.113807831,0.124037748,0.028132273,0.393851819
E08000031,Wolverhampton,Bus,12.87417145,1.978372498,1.736837738,0.239690983,0.87948153,0.294082398,0.772542476,0.617665225,0.73566694,0.152111585,0.305145059,0.899763075,0.552211149,0.340176818,0.242456648,0.429599993,0.093110728,0.130908152,0.101407723
E07000237,Worcester,Bus,6.139694885,1.063790009,0.856266826,0.16826204,0.301002094,0.095348489,0.357089441,0.256132217,0.321567454,0.087870176,0.067304816,0.205653605,0.151435836,0.097218068,0.140218367,0.102826802,0.059826503,0.106565959,0.029913251
E07000238,Wychavon,Bus,2.380646935,0.337212499,0.183267662,0.038486209,0.076972418,0.012828736,0.186933016,0.144781453,0.032988179,0.01099606,0.027490149,0.328049116,0.056812975,0.032988179,0.045816916,0.095299184,0.025657473,0.014661413,0.049482268
E07000239,Wyre Forest,Bus,3.043409043,0.658034388,0.302483549,0.061027383,0.127361494,0.026533645,0.14858841,0.07694757,0.053067289,0.021226916,0.034493738,0.185735513,0.092867756,0.122054765,0.087561027,0.07694757,0.029187009,0.007960093,0.018573551
E06000055,Bedford UA,Bus,5.493376733,0.824406707,0.75237117,0.174752878,0.320157945,0.097381375,0.246788416,0.282806184,0.270800261,0.066699572,0.086709443,0.224110561,0.181422835,0.081373478,0.105385323,0.156076998,0.030681803,0.0466897,0.065365579
E06000056,Central Bedfordshire UA,Bus,4.051783473,0.543544273,0.331997247,0.048584963,0.203449532,0.030365602,0.220656707,0.132596461,0.080974938,0.035426535,0.076926191,0.210534839,0.140693955,0.076926191,0.120450221,0.119438034,0.036438722,0.042511843,0.01214624
E06000032,Luton UA,Bus,9.903280067,1.237218361,1.010358107,0.265592493,0.464786862,0.142755965,0.453720508,0.808950467,0.367402948,0.251206233,0.178168297,0.380682573,0.468106768,0.131689611,0.131689611,0.200301005,0.085210925,0.085210925,0.03098579
E06000031,Peterborough UA,Bus,8.445726437,1.767114926,0.933272953,0.217566796,0.312075449,0.375081218,0.499123826,0.77575853,0.454822895,0.206737679,0.093524188,0.488294709,0.220520191,0.138809585,0.158498887,0.233318238,0.081710607,0.062021304,0.059067908
E06000033,Southend-on-Sea UA,Bus,12.36400694,1.163687443,1.311041948,0.191423142,0.465474977,0.614206627,0.479246426,0.554989396,0.444817804,0.088137274,0.101908723,0.320874762,0.141845925,0.198308866,0.168011678,0.133583056,0.033051478,0.079874404,0.019280029
E06000034,Thurrock UA,Bus,10.77901924,2.158597145,0.380198634,0.063625078,0.195530726,0.048106766,0.44072005,0.285536934,0.102420857,0.035692117,0.085350714,0.141216636,0.180012415,0.060521415,0.085350714,0.184667908,0.01396648,0.023277467,0.024829298
E07000200,Babergh,Bus,2.862605997,0.615197029,0.224463781,0.036025051,0.138557889,0.044338525,0.224463781,0.166269467,0.058194314,0.02494042,0.047109682,0.199523361,0.044338525,0.041567367,0.077592418,0.04988084,0.07482126,0.008313473,0.016626947
E07000066,Basildon,Bus,8.993254759,1.130608032,0.696128088,0.100818551,0.183633789,0.163230034,0.280851677,0.22804196,0.196836218,0.08521568,0.118821863,0.232842843,0.136825176,0.0576106,0.109220097,0.159629372,0.016803092,0.051609496,0.015602871
E07000067,Braintree,Bus,4.742115156,0.577675846,0.400062079,0.067251815,0.101739925,0.058629787,0.156920902,0.16899174,0.062078598,0.032763705,0.05000776,0.425928161,0.079322654,0.060354193,0.093117898,0.091393492,0.022417272,0.025866083,0.037936922
E07000143,Breckland,Bus,1.892236726,0.288546472,0.147217588,0.037295122,0.096182157,0.058887035,0.113848268,0.096182157,0.045146727,0.005888704,0.058887035,0.172735303,0.041220925,0.037295122,0.039258023,0.052998332,0.031406419,0.017666111,0.021591913
E07000068,Brentwood,Bus,10.11878703,0.715057059,0.37066223,0.131337011,0.198464816,0.23932522,0.192627616,0.469894639,0.040860403,0.096313808,0.055453405,0.145930012,0.072965006,0.061290605,0.140092811,0.049616204,0.072965006,0.011674401,0.023348801
E07000144,Broadland,Bus,3.651520242,0.405257853,0.480849992,0.075592138,0.132286242,0.663530993,0.161683185,0.115487989,0.119687552,0.092390391,0.107088863,0.32336637,0.062993449,0.046195196,0.054594323,0.146984714,0.035696288,0.069292794,0.081891484
E07000095,Broxbourne,Bus,8.767620948,1.025916545,0.324916213,0.089543838,0.189321258,0.081868652,0.230255584,0.360733748,0.084427047,0.051167907,0.148386932,0.202113235,0.150945327,0.079310257,0.053726302,0.212346816,0.03325914,0.023025558,0.03325914
E07000008,Cambridge,Bus,12.01579442,1.79798769,1.418963861,0.598625379,1.583665023,0.149920289,0.506772807,0.312509898,0.303007908,0.25444218,0.090796795,0.105577668,0.068625484,0.128804755,0.186872473,0.080239028,0.097131455,0.058067718,0.029561747
E07000069,Castle Point,Bus,8.197617653,0.902167545,0.902167545,0.074204257,0.40617067,0.144503027,0.359304823,0.187463386,0.109353642,0.035149385,0.14059754,0.36321031,0.203085335,0.089826206,0.171841437,0.164030463,0.015621949,0.039054872,0.007810974
E07000070,Chelmsford,Bus,8.705910678,0.91007584,0.958228,0.190201035,0.266040689,0.302154809,0.33224991,0.219092332,0.439388468,0.058986397,0.093896714,0.12278801,0.139641266,0.090285302,0.173347779,0.105934754,0.038521729,0.040929337,0.022872276
E07000071,Colchester,Bus,8.609979452,1.564263062,1.147363795,0.23754944,0.622379533,0.24586367,0.49647833,0.330193722,0.232798451,0.123525709,0.084330051,0.144905158,0.108084995,0.171035597,0.231610704,0.123525709,0.045134394,0.073640326,0.014252966
E07000096,Dacorum,Bus,5.664762419,0.86665767,0.392844826,0.167933666,0.176930113,0.107957357,0.212915898,0.217414121,0.077969202,0.09296328,0.091463872,0.118453211,0.163435443,0.100460318,0.083966833,0.104958541,0.070472163,0.01349467,0.010495854
E07000009,East Cambridgeshire,Bus,2.382772681,0.344036697,0.165647299,0.035040775,0.066896024,0.01911315,0.111493374,0.05733945,0.01911315,0.015927625,0.03185525,0.105122324,0.022298675,0.035040775,0.04459735,0.022298675,0.028669725,0.003185525,0.041411825
E07000242,East Hertfordshire,Bus,5.837684721,0.476092966,0.342991707,0.098972731,0.138220539,0.04266066,0.218422579,0.15187195,0.087027746,0.035834954,0.064844203,0.150165523,0.095559879,0.037541381,0.078495615,0.069963482,0.032422102,0.01877069,0.022183543
E07000072,Epping Forest,Bus,11.2616075,0.722936618,0.722936618,0.12256684,0.282526954,0.043625486,0.292913975,0.388474562,0.076863951,0.04570289,0.170347134,0.11217982,0.105947608,0.093483183,0.120489436,0.093483183,0.027006253,0.022851445,0.039470677
E07000010,Fenland,Bus,2.033377594,0.281184097,0.182248952,0.03644979,0.091124476,0.015621339,0.096331589,0.288994767,0.028639121,0.007810669,0.059881799,0.247337864,0.052071129,0.013017782,0.041656903,0.078106694,0.015621339,0.005207113,0.07289958
E07000145,Great Yarmouth,Bus,4.990555721,1.322199026,0.872353117,0.096928124,0.251018988,0.10686947,0.37777115,0.198826921,0.119296153,0.024853365,0.054677403,0.196341585,0.169002883,0.191370912,0.154090864,0.086986778,0.298240382,0.042250721,0.039765385
E07000073,Harlow,Bus,8.188523565,1.372671584,0.925115639,0.165020628,0.310038755,0.080010001,0.370046256,0.442555319,0.162520315,0.095011876,0.13751719,0.285035629,0.195024378,0.097512189,0.082510314,0.190023753,0.040005001,0.03000375,0.025003127
E07000098,Hertsmere,Bus,11.48031093,1.082685573,0.879815495,0.251985991,0.32245665,0.224224823,0.478346289,0.456991544,0.059793286,0.147347741,0.17083796,0.19432818,0.205005552,0.149483215,0.234902195,0.335269497,0.136670368,0.064064235,0.04698044
E07000011,Huntingdonshire,Bus,2.785987818,0.391940168,0.218458454,0.059112288,0.074532884,0.014135547,0.14264052,0.268575394,0.107944177,0.04883189,0.05011694,0.133645172,0.039836542,0.023130895,0.060397337,0.057827238,0.028271094,0.006425249,0.034696343
E07000202,Ipswich,Bus,9.309117205,2.020637481,1.076375369,0.297602492,0.30177449,0.725927574,0.55626634,0.435278411,0.61328364,0.107081271,0.102909273,0.212771875,0.24475719,0.212771875,0.18773989,0.200255883,0.04032931,0.068142627,0.090393281
E07000146,King's Lynn and West Norfolk,Bus,2.982554868,0.765960108,0.38141687,0.048458701,0.14068655,0.053148252,0.200087538,0.106296505,0.104733321,0.021884575,0.070343275,0.075032827,0.042205965,0.060964172,0.071906459,0.029700494,0.054711436,0.014068655,0.034390046
E07000074,Maldon,Bus,3.480278422,0.270688322,0.214832001,0.06015296,0.05155968,0.04726304,0.158975681,0.146085761,0.07304288,0.00859328,0.07304288,0.158975681,0.03007648,0.0429664,0.06874624,0.085932801,0.00429664,0.01718656,0.03007648
E07000203,Mid Suffolk,Bus,2.50725534,0.223607213,0.190304011,0.021409201,0.059470003,0.011894001,0.088015605,0.092773205,0.038060802,0.011894001,0.054712403,0.554260431,0.068985204,0.023788001,0.026166801,0.040439602,0.011894001,0.0071364,0.057091203
E07000099,North Hertfordshire,Bus,5.462113329,0.5240753,0.361366001,0.083246618,0.14757355,0.291363163,0.149465519,0.085138587,0.02648756,0.037839372,0.075678744,0.122977959,0.037839372,0.041623309,0.064326932,0.077570712,0.028379529,0.030271497,0.013243781
E07000147,North Norfolk,Bus,2.392296755,0.444034226,0.236984559,0.042407763,0.107266695,0.05238606,0.209544241,0.059869783,0.054880635,0.014967446,0.044902337,0.06984808,0.042407763,0.077331803,0.064858932,0.042407763,0.122234141,0.009978297,0.027440318
E07000148,Norwich,Bus,10.99669776,2.640680084,0.716230086,0.496452318,0.770895622,1.307510375,0.764201883,0.363693159,0.624748985,0.333571333,0.109331072,0.174037217,0.186309072,0.239858985,0.282252666,0.17849971,0.092596725,0.109331072,0.015618724
E07000075,Rochford,Bus,7.564809297,0.636918951,0.476758045,0.085667461,0.242103695,0.204856973,0.305423123,0.145262217,0.305423123,0.055870083,0.115464839,0.335220501,0.104290822,0.111740167,0.160160906,0.10056615,0.022348033,0.037246722,0.014898689
E07000012,South Cambridgeshire,Bus,3.73806822,0.256324678,0.280355116,0.679527401,0.229624191,0.038715707,0.114812095,0.093451705,0.056071023,0.157532875,0.05206595,0.158867899,0.033375609,0.04272078,0.050730926,0.046725853,0.013350244,0.024030439,0.013350243
E07000149,South Norfolk,Bus,4.025756083,0.32833534,1.796723943,0.162343585,0.138630477,0.147750903,0.211593886,0.120389625,0.089380176,0.03830579,0.056546642,0.093028346,0.040129875,0.036481704,0.056546641,0.049250301,0.051074386,0.012768597,0.04560213
E07000240,St Albans,Bus,8.629310623,1.125842769,0.603245266,0.185489855,0.267750573,0.101616181,0.354850156,0.396786993,0.098390271,0.077421852,0.096777315,0.083873673,0.108068002,0.088712539,0.127423465,0.1225846,0.051614568,0.020968418,0.024194328
E07000243,Stevenage,Bus,10.00798687,1.641744687,1.01832542,0.135333008,0.224075964,0.108710121,0.656697875,0.505834849,0.268447442,0.199671651,0.110928695,0.248480277,0.164174469,0.177485912,0.14198873,0.13089586,0.064338643,0.022185739,0.013311443
E07000076,Tendring,Bus,3.880957169,0.4423889,0.585383292,0.055857184,0.172040128,0.035748598,0.201085864,0.087137208,0.069262909,0.024577161,0.026811448,0.105011507,0.060325759,0.082668633,0.067028621,0.053622897,0.046920035,0.006702862,0.022342874
E07000102,Three Rivers,Bus,9.703919699,0.378511748,0.414961027,0.058879605,0.109347838,0.157012281,0.255144956,0.257948747,0.081309931,0.168227444,0.131778164,0.053272024,0.084113722,0.07570235,0.033645489,0.061683396,0.204676723,0.053272024,0.016822744
E07000077,Uttlesford,Bus,5.923447801,0.514119847,0.150054118,0.115615468,0.110695661,0.054117879,0.452622257,0.282888911,0.078716914,0.029518843,0.076257011,0.105775854,0.718291843,0.044278264,0.036898554,0.039358457,0.098396143,0.007379711,0.012299518
E07000103,Watford,Bus,14.26804044,1.985269954,1.206239972,0.21070538,0.218437687,0.152713073,0.400146914,0.438808451,0.220370764,0.137248458,0.170110765,0.168177688,0.282229224,0.12371692,0.152713074,0.177843073,0.071523845,0.038661538,0.032862307
E07000241,Welwyn Hatfield,Bus,8.722569394,0.914111321,0.491207673,0.149687545,0.373492225,0.046504868,0.21363174,0.453422468,0.08138352,0.139514605,0.110449063,0.164220317,0.154047377,0.056677808,0.079930242,0.139514605,0.039238483,0.023252434,0.072663857
E09000002,Barking and Dagenham,Bus,26.55241146,1.693384896,1.526431455,0.257244587,1.090308182,0.212950817,0.683146221,0.947205233,0.495749502,0.093698359,0.350942946,0.630334418,0.574115402,0.415679995,0.330499668,0.626927205,0.056219016,0.093698359,0.156731802
E09000003,Barnet,Bus,27.90711923,2.917840951,2.459104276,0.579739003,1.350171548,0.228985418,1.097445166,1.05302659,0.37066536,0.225156231,0.690019605,0.27799902,0.435761549,0.341563534,0.798002696,0.381387085,0.136319079,0.183035167,0.049013601
E09000004,Bexley,Bus,18.16175102,2.546474828,1.533203904,0.216749555,0.803170128,0.166218984,0.965399856,0.844392436,0.58376107,0.122337172,0.349724741,0.597058589,0.438818117,0.243344592,0.2845669,0.348394989,0.074466105,0.102390894,0.27791814
E09000005,Brent,Bus,36.70515994,2.151771007,2.261300032,0.450190167,1.219480643,0.210433718,1.154798147,1.502358755,0.464851532,0.203534252,1.106501884,1.049581289,0.900380333,0.296677045,0.455364766,0.658036584,0.188010453,0.163862321,0.109529026
E09000006,Bromley,Bus,22.67661966,3.272730512,2.071066532,0.47122331,0.75805489,0.7242052,0.951354433,0.840897551,0.507745343,0.168357667,0.304647206,0.228930795,0.325135176,0.342950802,0.375909711,0.209333607,0.056119222,0.15054204,0.060573129
E09000007,Camden,Bus,71.15577669,1.08565108,1.750402465,1.506550776,1.324757152,0.218663415,1.010816356,0.719873548,0.474926717,0.774265616,0.23509055,0.161716015,0.270135104,0.473466527,0.436596735,0.162081062,0.36760277,0.153319924,0.038329981
E09000001,City of London,Bus,84.41417122,0.448690155,0.204763836,1.188581339,0.145180917,1.821894625,0.64226471,0.562261354,0.150216093,0.303229506,0.09986433,0.055946403,0.083919605,0.102381918,0.107137362,0.057065331,0.089793977,0.076087109,0.019860973
E09000008,Croydon,Bus,32.40723168,2.893826997,2.643804306,0.707159891,1.154395201,0.731914613,1.075180091,1.063627887,1.519939929,0.284679303,0.500870541,0.315210126,0.514073059,0.28880509,0.385348505,0.382873033,0.121298138,0.182359785,0.052810074
E09000009,Ealing,Bus,33.68751781,2.134105191,2.22783785,0.618635552,1.19902818,0.231707134,1.136039833,1.323505152,0.53465109,0.317941181,0.813599484,0.894584502,0.872838525,0.285697146,0.462664407,0.610387078,0.128226278,0.184465874,0.090733215
E09000010,Enfield,Bus,24.86528244,2.626521461,2.708482496,0.283566341,1.336812752,0.28168218,1.102234616,1.090929645,0.507781588,0.176169122,0.52097072,0.433357199,0.601989675,0.285450503,0.382484832,0.601989675,0.110223462,0.164864152,0.101744734
E09000011,Greenwich,Bus,32.93154161,2.568775593,3.197416229,0.382951727,1.925139858,0.203010554,1.58025261,1.39569756,1.116558048,0.216852183,0.544437395,0.401407232,0.670165523,0.708230002,0.454466809,0.4660015,0.091124056,0.173020359,0.129188535
E09000012,Hackney,Bus,50.39453324,1.483944756,2.809307332,1.328245889,1.836669966,0.356569627,1.353234596,1.345545763,0.834238373,0.832316165,0.558401492,0.391169375,0.657395216,0.64682307,0.4670966,0.24988707,0.162426596,0.275836881,0.054782934
E09000013,Hammersmith and Fulham,Bus,55.66700501,1.986109224,2.042855202,0.801636842,0.930314341,0.204605216,1.051798688,0.746489342,0.460361736,1.172483795,0.275737498,0.193415868,0.341275106,0.481941192,0.407611953,0.276536737,0.192616629,0.246964889,0.059143695
E09000014,Haringey,Bus,39.18917261,2.784151564,2.478618845,0.623335828,2.063879652,0.247861884,1.550977337,1.689632747,0.796348332,0.30430568,0.87487883,0.576708345,1.029485748,0.699412248,0.690822975,0.476091144,0.128839098,0.274856743,0.089573849
E09000015,Harrow,Bus,26.1302754,2.269278799,1.797967048,0.691525788,0.848629705,0.264525398,0.887569992,0.876827844,0.377317954,0.201415278,0.585447075,0.377317954,0.370604112,0.3625475,0.306151223,0.330321056,0.092651028,0.08190888,0.065795658
E09000016,Havering,Bus,21.1226621,3.275995588,2.307981133,0.295684416,0.650036374,0.630089409,0.85067937,0.586675428,0.46699364,0.105601577,0.30155117,0.352005257,0.390725835,0.321498134,0.287470959,0.282777556,0.065707648,0.095041419,0.051627439
E09000017,Hillingdon,Bus,20.87203162,2.089255001,1.016867324,0.281222655,0.619172626,0.188889895,1.244380073,1.415165505,0.413385233,0.292688814,0.316828098,0.407350412,1.993301349,0.136990435,0.223288374,0.345795239,0.540719954,0.042243746,0.053106424
E09000018,Hounslow,Bus,28.07544663,1.848318903,1.316917563,0.455707544,0.61327422,0.28346554,1.228865597,1.348585376,0.45647993,0.65961736,0.403957704,0.383103291,1.372529331,0.291189397,0.331353451,0.388509991,0.196958345,0.116630236,0.07492141
E09000019,Islington,Bus,64.58715487,1.381709031,2.181551802,1.482954952,1.344188484,0.490149368,1.098220454,0.91359554,0.636062606,0.846296782,0.338876051,0.231674488,0.483598161,0.478238083,0.452628821,0.201300712,0.129833004,0.275746242,0.065512066
E09000020,Kensington and Chelsea,Bus,60.15892192,2.873866363,2.178795665,0.820983138,1.075360297,0.329244015,1.651324633,0.823535417,0.352214528,0.539381668,0.25182488,0.154838271,0.239914243,0.601487128,0.863521124,0.225451328,0.614248524,0.346259209,0.036582669
E09000021,Kingston upon Thames,Bus,26.19664624,4.545267574,1.915456652,0.49497484,1.290225275,0.500459326,1.081814816,1.03793893,0.814446135,0.315357931,0.287935502,0.257770831,0.224863916,0.530623997,0.396254096,0.32358466,0.090494015,0.11380308,0.050731493
E09000022,Lambeth,Bus,56.69045914,1.576522827,4.911808735,0.753548984,1.562059315,0.252388287,1.495527159,1.709587139,1.214211847,0.519963263,0.611806565,0.174285322,0.621207848,0.606744336,0.555398868,0.258896868,0.258173692,0.222738087,0.111369044
E09000023,Lewisham,Bus,36.42142704,2.498644098,4.326274233,0.385959159,2.135388419,0.280009586,1.500952285,1.4769875,1.109947908,0.171537404,0.672275267,0.214421755,0.681104398,0.48560221,0.500737863,0.300190457,0.094597833,0.259828715,0.108472182
E09000024,Merton,Bus,33.92925519,2.20235816,1.641205751,0.433077624,0.941415689,0.250868136,0.922930668,1.03516115,0.456844079,0.227101681,0.501736272,0.390826148,0.623209264,0.364418976,0.533424878,0.374981845,0.092425103,0.145239447,0.059416136
E09000025,Newham,Bus,45.08058327,2.598810437,2.141212586,0.31657713,1.682655411,0.248465081,1.061013047,1.326745971,0.738679969,0.136224098,0.732924021,0.334804298,0.572716807,0.278204144,0.288756716,0.276285495,0.159247889,0.286838066,0.116078282
